session_id,timestamp,time_since_start,time_since_last_event,event_type,client_x,client_y,relative_x,relative_y,page_x,page_y,screen_x,screen_y,button,buttons,ctrl_key,shift_key,alt_key,meta_key,velocity,acceleration,direction,user_agent,screen_width,screen_height,viewport_width,viewport_height,user_type,challenge_type,captcha_id
bot_session_1764076726433_6a448167,1765840803161,1764076728.102438,0.0,mousedown,562.0,537.0,0,0,562.0,537.0,562.0,537.0,0,0,False,False,False,False,0.0,0.0,0.0,Bot/CVAttacker,1920,1080,1920,1080,bot,captcha1_success,captcha1
bot_session_1764076726433_6a448167,1764076726434,1.355886459350586,1.355886459350586,mousemove,564.1879272761066,537.4415502231639,0,0,564.1879272761066,537.4415502231639,564.1879272761066,537.4415502231639,0,0,False,False,False,False,1646.1833514793627,0.0,0.0,Bot/CVAttacker,1920,1080,1920,1080,bot,captcha1_success,captcha1
bot_session_1764076726433_6a448167,1764076726444,11.76309585571289,10.407209396362305,mousemove,566.596260714534,537.1673202685291,0,0,566.596260714534,537.1673202685291,566.596260714534,537.1673202685291,0,0,False,False,False,False,232.9054743601341,0.0,0.0,Bot/CVAttacker,1920,1080,1920,1080,bot,captcha1_success,captcha1
bot_session_1764076726433_6a448167,1764076726457,23.998022079467773,12.234926223754883,mousemove,567.8631559748605,537.2483636285896,0,0,567.8631559748605,537.2483636285896,567.8631559748605,537.2483636285896,0,0,False,False,False,False,103.75908810056383,0.0,0.0,Bot/CVAttacker,1920,1080,1920,1080,bot,captcha1_success,captcha1
bot_session_1764076726433_6a448167,1764076726469,36.57793998718262,12.579917907714844,mousemove,569.864907023234,536.7690561117688,0,0,569.864907023234,536.7690561117688,569.864907023234,536.7690561117688,0,0,False,False,False,False,163.620701740612,0.0,0.0,Bot/CVAttacker,1920,1080,1920,1080,bot,captcha1_success,captcha1
bot_session_1764076726433_6a448167,1764076726482,49.18313026428223,12.60519027709961,mousemove,571.7817624875413,536.9927852963564,0,0,571.7817624875413,536.9927852963564,571.7817624875413,536.9927852963564,0,0,False,False,False,False,153.10104250790417,0.0,0.0,Bot/CVAttacker,1920,1080,1920,1080,bot,captcha1_success,captcha1
bot_session_1764076726433_6a448167,1764076726494,61.80906295776367,12.625932693481445,mousemove,573.4705902846482,537.436690707388,0,0,573.4705902846482,537.436690707388,573.4705902846482,537.436690707388,0,0,False,False,False,False,138.3021301201177,0.0,0.0,Bot/CVAttacker,1920,1080,1920,1080,bot,captcha1_success,captcha1
bot_session_1764076726433_6a448167,1764076726507,74.45812225341797,12.649059295654297,mousemove,575.3846900173611,536.8453289525119,0,0,575.3846900173611,536.8453289525119,575.3846900173611,536.8453289525119,0,0,False,False,False,False,158.38085220107038,0.0,0.0,Bot/CVAttacker,1920,1080,1920,1080,bot,captcha1_success,captcha1
bot_session_1764076726433_6a448167,1764076726518,85.18004417419434,10.721921920776367,mousemove,577.1347026432703,537.2934432527743,0,0,577.1347026432703,537.2934432527743,577.1347026432703,537.2934432527743,0,0,False,False,False,False,168.48421869956277,0.0,0.0,Bot/CVAttacker,1920,1080,1920,1080,bot,captcha1_success,captcha1
bot_session_1764076726433_6a448167,1764076726530,97.7928638458252,12.61281967163086,mousemove,579.6493039201845,536.9995803745966,0,0,579.6493039201845,536.9995803745966,579.6493039201845,536.9995803745966,0,0,False,False,False,False,200.7254449817643,0.0,0.0,Bot/CVAttacker,1920,1080,1920,1080,bot,captcha1_success,captcha1
bot_session_1764076726433_6a448167,1764076726543,110.39495468139648,12.602090835571289,mousemove,582.7757557040314,536.7509216014377,0,0,582.7757557040314,536.7509216014377,582.7757557040314,536.7509216014377,0,0,False,False,False,False,248.87335222806374,0.0,0.0,Bot/CVAttacker,1920,1080,1920,1080,bot,captcha1_success,captcha1
