session_id,timestamp,time_since_start,time_since_last_event,event_type,client_x,client_y,relative_x,relative_y,page_x,page_y,screen_x,screen_y,button,buttons,ctrl_key,shift_key,alt_key,meta_key,velocity,acceleration,direction,user_agent,screen_width,screen_height,viewport_width,viewport_height,user_type,challenge_type
session_1764011067005_uctjlzeuy,1764011067160,154.00,154.00,mousemove,450,542,24.50,252.50,450,542,659,630,0,1,False,False,False,False,0.00,0.00,0.00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1470,956,1251,772,human,captcha1_success
session_1764011067005_uctjlzeuy,1764011067176,170.50,16.50,mousemove,452,542,26.50,252.50,452,542,661,630,0,1,False,False,False,False,121.21,7346.19,0.00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1470,956,1251,772,human,captcha1_success
session_1764011067005_uctjlzeuy,1764011067193,187.50,17.00,mousemove,456,542,30.50,252.50,456,542,665,630,0,1,False,False,False,False,235.29,6710.83,0.00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1470,956,1251,772,human,captcha1_success
session_1764011067005_uctjlzeuy,1764011067226,220.30,32.80,mousemove,470,542,44.50,252.50,470,542,679,630,0,1,False,False,False,False,426.83,5839.61,0.00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1470,956,1251,772,human,captcha1_success
session_1764011067005_uctjlzeuy,1764011067242,236.80,16.50,mousemove,476,542,50.50,252.50,476,542,685,630,0,1,False,False,False,False,363.64,-3829.92,0.00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1470,956,1251,772,human,captcha1_success
session_1764011067005_uctjlzeuy,1764011067259,253.30,16.50,mousemove,480,542,54.50,252.50,480,542,689,630,0,1,False,False,False,False,242.42,-7346.41,0.00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1470,956,1251,772,human,captcha1_success
session_1764011067005_uctjlzeuy,1764011067275,269.90,16.60,mousemove,483,542,57.50,252.50,483,542,692,630,0,1,False,False,False,False,180.72,-3716.69,0.00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1470,956,1251,772,human,captcha1_success
session_1764011067005_uctjlzeuy,1764011067292,286.50,16.60,mousemove,484,542,58.50,252.50,484,542,693,630,0,1,False,False,False,False,60.24,-7257.77,0.00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1470,956,1251,772,human,captcha1_success
session_1764011067005_uctjlzeuy,1764011067309,303.60,17.10,mousemove,485,542,59.50,252.50,485,542,694,630,0,1,False,False,False,False,58.48,-102.95,0.00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1470,956,1251,772,human,captcha1_success
session_1764011067005_uctjlzeuy,1764011067326,320.50,16.90,mousemove,486,542,60.50,252.50,486,542,695,630,0,1,False,False,False,False,59.17,40.92,0.00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1470,956,1251,772,human,captcha1_success
